NAME,SMILES,PROPERTY
DTXSID50517633,OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(Cl)C(F)(F)Cl,0.000663743
DTXSID90593173,FC(F)(F)C(F)(C=C)C(F)(F)Br,8.77001E-05
DTXSID10786065,CCCCC(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,3.54813E-05
DTXSID80841478,FC(F)(F)C(F)(F)C(F)(F)C(=C)NC1CCCCC1,2.33884E-05
DTXSID90375113,FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)Br,1.14288E-05
DTXSID80631134,CC(C)O[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC(C)C)OC(C)C,1.39316E-08
DTXSID50285764,CCCCC(=O)C(F)(F)C(F)(F)F,0.000428549
DTXSID3059971,FC(F)(F)C(F)(F)C(F)(F)Br,0.000102329
DTXSID8059920,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.1722E-05
DTXSID50826631,OCC(F)(F)C(F)(F)C(F)(F)OC(F)=C(F)F,0.000212814
DTXSID70447706,FN(F)C(F)(F)C(F)(F)C(F)(F)F,0.000100925
DTXSID3061051,OC(C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F,0.000413047
DTXSID90381976,CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.42561E-08
DTXSID80693732,[2H]O[2H].[2H]O[2H].[2H]O[2H].FC(F)(F)C(=O)C(F)(F)F,0.00177419
DTXSID20225995,CC1=NN(C2=NC(=CS2)C2=CC(O)=C(O)C=C2)C(=C1)C(F)(F)C(F)F,7.48169E-06
DTXSID60551164,FC(F)(Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Cl,4.37522E-07
DTXSID70543939,FC(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCCCCCCOCC1=CC=CC=C1,4.47713E-08
DTXSID8026434,FC(F)(Cl)C(F)(F)Cl,0.00076913
DTXSID60380850,FC(C(F)(F)F)C(F)(F)OC(Cl)(Cl)Cl,0.000149624
DTXSID20195280,FC(F)(C1=CC=CC=C1)C(F)(F)C1=CC=CC=C1,7.56833E-06
DTXSID90167757,[O-][N+](=O)C1=CC(OC(F)(F)C(F)F)=CC=C1,9.84011E-05
DTXSID50557857,OCCC(O)C(F)(F)C(F)(F)F,0.00756833
DTXSID20436024,FC(F)(F)C(OCCl)C(F)(F)F,0.000444631
DTXSID2072594,CN(C)CCCN(CCCS(O)(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.30017E-06
DTXSID50566181,FN(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.000100693
DTXSID60518671,FC(F)(F)C(F)(Cl)S(Cl)=O,0.0144212
DTXSID10621124,CC(F)(F)C(F)(F)C(F)(F)C(F)=C(F)F,6.65273E-05
DTXSID90382100,OC(=O)C(F)(Br)C(F)(F)F,0.0097949
DTXSID10336882,CCCCCCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,7.2778E-07
DTXSID70613904,FC(F)(F)C1(F)C(=O)C=CC2=CC=CC=C12,1.91426E-05
DTXSID20371289,FC(F)(F)C(F)(Br)C(F)(F)F,7.96159E-05
DTXSID70464958,CC1=C(C2=CC=CC=C2S1)C1=C(C2=C(C)SC3=CC=CC=C23)C(F)(F)C(F)(F)C1(F)F,9.16221E-09
DTXSID60379441,FC(F)(F)C(F)(OC(F)(F)C(F)(F)I)C(F)(F)F,4.03645E-05
DTXSID90303698,CC(C)(C)C(=O)CC(O)(C(F)(F)F)C(F)(F)F,8.91251E-05
DTXSID50464739,OC(CCl)(C(F)(F)F)C(F)(F)F,0.000855067
DTXSID20529607,[O-][N+](=O)CC(CS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=CO1,2.93765E-07
DTXSID0074130,[O]OC(F)(F)C(F)(F)F,0.164059
DTXSID00818945,CCC(C=O)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.33346E-06
